"movieId","movie_title","title_year","genres.x","genres.y","director_name","actor_1_name","actor_2_name","actor_3_name","duration","plot_keywords","language","country","facenumber_in_poster","imdb_score","movielens_score","movielens_score_normalized","aprox_imdb_score","aprox_movielens_score","aprox_movielens_normalized_score"
21,"Get Shorty ",1995,"Comedy|Crime|Thriller","Comedy|Crime|Thriller","Barry Sonnenfeld","Delroy Lindo","Rene Russo","Jon Gries",105,"debt|loan shark|mobster|movie business|producer","English","USA",4,6.9,3.57724434191162,7.15448868382324,7,4,7
22,"Copycat ",1995,"Crime|Drama|Horror|Mystery|Thriller","Crime|Drama|Mystery|Thriller","Jon Amiel","William McNamara","Holly Hunter","Harry Connick Jr.",123,"agoraphobia|copycat murder|detective|psychologist|serial killer","English","USA",0,6.6,3.30221956161356,6.60443912322711,7,3,7
23,"Assassins ",1995,"Action|Crime|Thriller","Action|Crime|Thriller","Richard Donner","Muse Watson","Sylvester Stallone","Kelly Rowan",132,"assassin|floppy disk|modem|rival|russian","English","France",0,6.3,3.16123813632442,6.32247627264884,6,3,6
25,"Leaving Las Vegas ",1995,"Drama|Romance","Drama|Romance","Mike Figgis","Nicolas Cage","Valeria Golino","Julian Sands",111,"alcoholic|bar|love|prostitute|sex","English","USA",0,7.6,3.67187306565427,7.34374613130855,8,4,7
34,"Babe ",1995,"Children|Drama","Comedy|Drama|Family","Chris Noonan","Miriam Margolyes","Christine Cavanaugh","Roscoe Lee Browne",91,"dog|farmer|pig|sheep|sheepdog","English","Australia",0,6.8,3.6377692534671,7.2755385069342,7,4,7
36,"Dead Man Walking ",1995,"Crime|Drama","Crime|Drama","Tim Robbins","Lois Smith","Celia Weston","Robert Prosky",122,"death|execution|nun|solitary confinement|visit","English","UK",0,7.6,3.9389139300279,7.87782786005581,8,4,8
39,"Clueless ",1995,"Comedy|Romance","Comedy|Romance","Amy Heckerling","Donald Faison","Dan Hedaya","Elisa Donovan",97,"female protagonist|high school|makeover|matchmaker|popularity","English","USA",1,6.8,3.41218249889884,6.82436499779768,7,3,7
41,"Richard III ",1995,"Drama|War","Drama|War","Richard Loncraine","Robert Downey Jr.","Jim Broadbent","Kristin Scott Thomas",104,"1930s|abuse of power|england|king|murder","English","UK",3,7.5,3.85323383084577,7.70646766169154,8,4,8
44,"Mortal Kombat ",1995,"Action|Adventure|Fantasy","Action|Adventure|Fantasy|Sci-Fi|Thriller","Paul W.S. Anderson","Christopher Lambert","Cary-Hiroyuki Tagawa","Bridgette Wilson-Sampras",101,"based on video game|island|mortal kombat|tournament|warrior","English","USA",0,5.8,2.62409383399853,5.24818766799707,6,3,5
45,"To Die For ",1995,"Comedy|Drama|Thriller","Comedy|Crime|Drama","Gus Van Sant","Kurtwood Smith","Wayne Knight","Holland Taylor",106,"career|fame|murder|new hampshire|television","English","USA",0,6.8,3.37481497145274,6.74962994290548,7,3,7
47,"Se7en ",1995,"Mystery|Thriller","Crime|Drama|Mystery|Thriller","David Fincher","Morgan Freeman","Brad Pitt","Reg E. Cathey",127,"detective|police partner|serial killer|serial murder|seven deadly sins","English","USA",0,8.6,4.06272307369305,8.1254461473861,9,4,8
48,"Pocahontas ",1995,"Animation|Children|Drama|Musical|Romance","Adventure|Animation|Drama|Family|History|Musical|Romance","","Christian Bale","Frank Welker","Irene Bedard",84,"actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia","English","USA",1,6.6,2.93994943109987,5.87989886219975,7,3,6
50,"The Usual Suspects ",1995,"Crime|Mystery|Thriller","Crime|Drama|Mystery|Thriller","Bryan Singer","Kevin Spacey","Chazz Palminteri","Kevin Pollak",106,"criminal|dirty cop|flashback|limping|suspect","English","USA",4,8.6,4.31898674687471,8.63797349374941,9,4,9
57,"Home for the Holidays ",1995,"Drama","Comedy|Drama|Romance","Jodie Foster","Robert Downey Jr.","Holly Hunter","Steve Guttenberg",103,"dinner|gay interest|gay sibling|homosexual|thanksgiving","English","USA",1,6.6,3.32663720369626,6.65327440739253,7,3,7
60,"The Indian in the Cupboard ",1995,"Adventure|Children|Fantasy","Drama|Family|Fantasy","Frank Oz","Steve Coogan","Vincent Kartheiser","David Keith",96,"best friend|birthday|boy|friend|magic","English","USA",1,5.9,3.07724241186879,6.15448482373758,6,3,6
61,"Eye for an Eye ",1996,"Drama|Thriller","Crime|Drama|Thriller","John Schlesinger","Joe Mantegna","Beverly D'Angelo","Philip Baker Hall",101,"justice|rape|self defense|support group|vigilante","English","USA",1,6.1,3.33710407239819,6.67420814479638,6,3,7
62,"Mr. Holland's Opus ",1995,"Drama","Drama|Music","Stephen Herek","Alicia Witt","Olympia Dukakis","Jean Louisa Kelly",143,"1990s|high school|high school teacher|teacher inspires students|teaching","English","USA",1,7.3,3.75619249823071,7.51238499646143,7,4,8
69,"Friday ",1995,"Comedy","Comedy|Drama","F. Gary Gray","Nia Long","John Witherspoon","Tony Cox",97,"bully|drug dealer|first part|neighbor|neighborhood","English","USA",1,7.3,3.55190028606457,7.10380057212914,7,4,7
70,"From Dusk Till Dawn ",1996,"Action|Comedy|Horror|Thriller","Crime|Fantasy|Horror","Robert Rodriguez","Quentin Tarantino","Salma Hayek","Cheech Marin",108,"brother|human versus vampire|rapist|stripper|vampire","English","USA",2,7.3,3.28895894533209,6.57791789066418,7,3,7
79,"The Juror ",1996,"Drama|Thriller","Drama|Thriller","Brian Gibson","Joseph Gordon-Levitt","Demi Moore","Anne Heche",118,"breasts|mafia|sex scene|temple|woods","English","USA",1,5.6,3.16311659192825,6.3262331838565,6,3,6
81,"Things to Do in Denver When You're Dead ",1995,"Crime|Drama|Romance","Crime|Drama","Gary Fleder","Steve Buscemi","Bill Cobbs","Treat Williams",115,"death|finger gun|video message|what happened to epilogue|wheelchair","English","USA",2,6.8,3.27557070856804,6.55114141713608,7,3,7
86,"White Squall ",1996,"Action|Adventure|Drama","Adventure|Drama","Ridley Scott","Jeff Bridges","Jason Marsden","Ethan Embry",129,"acrophobia|jamaica|male bonding|prostitute|tragedy","English","USA",4,6.6,3.48854120758043,6.97708241516086,7,3,7
92,"Mary Reilly ",1996,"Drama|Horror|Thriller","Drama|Horror|Romance|Thriller","Stephen Frears","Julia Roberts","Bronagh Gallagher","George Cole",108,"19th century|butler|housemaid|laboratory|servant","English","USA",1,5.8,2.85968543046358,5.71937086092715,6,3,6
93,"Vampire in Brooklyn ",1995,"Comedy|Horror|Romance","Comedy|Fantasy|Horror|Romance","Wes Craven","John Witherspoon","W. Earl Brown","Allen Payne",100,"blood|destiny|nightmare|partner|vampire","English","USA",1,4.5,2.52274904214559,5.04549808429119,4,3,5
95,"Broken Arrow ",1996,"Action|Adventure|Thriller","Action|Crime|Thriller","John Woo","Delroy Lindo","Samantha Mathis","Bob Gunton",108,"captain|desert|major|park ranger|utah","English","USA",2,6,3.11908928216345,6.2381785643269,6,3,6
100,"City Hall ",1996,"Drama|Thriller","Drama|Thriller","Harold Becker","Al Pacino","Martin Landau","Bridget Fonda",111,"drug dealer|mayor|new york city|probation|scandal","English","USA",2,6.2,3.2345636819321,6.46912736386421,6,3,6
101,"Bottle Rocket ",1996,"Adventure|Comedy|Crime|Romance","Comedy|Crime|Drama","Wes Anderson","Andrew Wilson","Darryl Cox","Lumi Cavazos",91,"caper|escapade|motel|robbery|texas","English","USA",0,7.1,3.78262295081967,7.56524590163934,7,4,8
104,"Happy Gilmore ",1996,"Comedy","Comedy|Sport","Dennis Dugan","Adam Sandler","Kevin Nealon","Frances Bay",92,"golf|golf ball|golfer|grandmother's house|tournament","English","USA",1,7,3.40963584594635,6.8192716918927,7,3,7
105,"The Bridges of Madison County ",1995,"Drama|Romance","Drama|Romance","Clint Eastwood","Clint Eastwood","Meryl Streep","Debra Monk",135,"1960s|bridge|housewife|love|photographer","English","USA",0,7.5,3.32694234447582,6.65388468895163,8,3,7
110,"Braveheart ",1995,"Action|Drama|War","Biography|Drama|History|War","Mel Gibson","Mhairi Calvey","Patrick McGoohan","James Robinson",178,"14th century|legend|revolt|scotland|tyranny","English","USA",1,8.4,4.03395792188291,8.06791584376581,8,4,8
111,"Taxi Driver ",1976,"Crime|Drama|Thriller","Crime|Drama","Martin Scorsese","Robert De Niro","Albert Brooks","Peter Boyle",110,"loner|neo noir|night shift|taxi driver|vigilante","English","USA",1,8.3,4.10059150764031,8.20118301528061,8,4,8
112,"Rumble in the Bronx ",1995,"Action|Adventure|Comedy|Crime","Action|Comedy","","Françoise Yip","Anita Mui","Garvin Cross",89,"fight|gang|greed|street gang|wedding","Cantonese","Hong Kong",1,6.7,3.40199436705488,6.80398873410977,7,3,7
122,"Boomerang ",1992,"Comedy|Romance","Comedy|Drama|Romance","Reginald Hudlin","John Witherspoon","Eartha Kitt","Geoffrey Holder",117,"advertising|battle of the sexes|dating|one word title|womanizer","English","USA",1,5.4,2.86411020104244,5.72822040208488,5,3,6
125,"Flirting with Disaster ",1996,"Comedy","Comedy","David O. Russell","Lily Tomlin","Mary Tyler Moore","David Patrick Kelly",92,"adoption|armpit fetish|mistaken identity|new mexico|overalls","English","USA",3,6.8,3.75450762829404,7.50901525658807,7,4,8
132,"Jade ",1995,"Thriller","Crime|Drama|Thriller","William Friedkin","Michael Biehn","Chazz Palminteri","Linda Fiorentino",107,"blackmail|investigation|murder|panties pulled down|prostitution","English","USA",0,5.1,2.77232965009208,5.54465930018416,5,3,6
140,"Up Close & Personal ",1996,"Drama|Romance","Drama|Romance","Jon Avnet","Joe Mantegna","Stockard Channing","Raymond Cruz",124,"journalism|news anchor|newscast|newscaster|tv journalism","English","USA",2,6.1,3.31101800677483,6.62203601354965,6,3,7
144,"The Brothers McMullen ",1995,"Comedy","Comedy|Drama|Romance","Edward Burns","Shari Albert","Michael McGlone","Maxine Bahns",98,"abusive father|critically acclaimed|loss of father|love|true love","English","USA",0,6.6,3.4691625189353,6.93832503787059,7,3,7
145,"Bad Boys ",1995,"Action|Comedy|Crime|Drama|Thriller","Action|Comedy|Crime|Drama|Thriller","Michael Bay","Will Smith","Tchéky Karyo","Theresa Randle",119,"drugs|heroin|murder|police|witness","English","USA",0,6.8,3.26040156567121,6.52080313134242,7,3,7
150,"Apollo 13 ",1995,"Adventure|Drama|IMAX","Adventure|Drama|History","Ron Howard","Tom Hanks","Miko Hughes","Kathleen Quinlan",140,"cape kennedy|news footage|reference to christopher columbus|rocket|trapped in space","English","USA",0,7.6,3.88249382941768,7.76498765883536,8,4,8
151,"Rob Roy ",1995,"Action|Drama|Romance|War","Adventure|Biography","Michael Caton-Jones","Liam Neeson","Jason Flemyng","Eric Stoltz",139,"18th century|highlands|scotland|sexual cruelty|sword fight","English","USA",1,6.9,3.52967848309975,7.05935696619951,7,4,7
153,"Batman Forever ",1995,"Action|Adventure|Comedy|Crime","Action|Adventure|Fantasy","Joel Schumacher","Michael Gough","Rene Auberjonois","Debi Mazar",121,"love|necktie|partner|rock music|tuxedo","English","USA",4,5.4,2.91538667738909,5.83077335477818,5,3,6
158,"Casper ",1995,"Adventure|Children","Comedy|Family|Fantasy","Brad Silberling","Eric Idle","Fred Rogers","Cathy Moriarty",100,"casper|friendly ghost|ghost|maine|mansion","English","USA",0,6,2.89776239752721,5.79552479505443,6,3,6
160,"Congo ",1995,"Action|Adventure|Mystery|Sci-Fi","Action|Adventure|Mystery|Sci-Fi","Frank Marshall","Dylan Walsh","Joe Don Baker","Grant Heslov",109,"captain|congo|expedition|laser|lost city","English","USA",0,5,2.60849903784477,5.21699807568954,5,3,5
161,"Crimson Tide ",1995,"Drama|Thriller|War","Action|Drama|Thriller|War","Tony Scott","Denzel Washington","Viggo Mortensen","Ricky Schroder",123,"alabama|mutiny|order|radio|submarine","English","USA",0,7.3,3.74822109525494,7.49644219050989,7,4,7
163,"Desperado ",1995,"Action|Romance|Western","Action|Crime|Thriller","Robert Rodriguez","Quentin Tarantino","Steve Buscemi","Salma Hayek",104,"crushed by a car|female frontal nudity|female nudity|female rear nudity|one against many","English","USA",0,7.2,3.43146610484571,6.86293220969141,7,3,7
165,"Die Hard with a Vengeance ",1995,"Action|Crime|Thriller","Action|Adventure|Thriller","John McTiernan","Bruce Willis","Aldis Hodge","Kevin Chamberlin",128,"bomb|detective|new york city|police|terrorist","English","USA",1,7.6,3.49769228785808,6.99538457571616,8,3,7
168,"First Knight ",1995,"Action|Drama|Romance","Action|Adventure|Romance|Thriller","Jerry Zucker","Julia Ormond","Ben Cross","John Gielgud",134,"battle|king|king arthur|knight|marriage","English","USA",3,5.9,3.06648199445983,6.13296398891967,6,3,6
170,"Hackers ",1995,"Action|Adventure|Crime|Thriller","Comedy|Crime|Drama|Thriller","Iain Softley","Angelina Jolie Pitt","Fisher Stevens","Lorraine Bracco",107,"computer|computer virus|cyberpunk|fight the system|sexual fantasy","English","USA",1,6.2,3.21317957166392,6.42635914332784,6,3,6
175,"Kids ",1995,"Drama","Drama","Larry Clark","Rosario Dawson","Leo Fitzpatrick","Justin Pierce",91,"coming of age|marijuana|rape|virgin|weed","English","USA",1,7,3.52459765910753,7.04919531821507,7,4,7
180,"Mallrats ",1995,"Comedy|Romance","Comedy|Romance","Kevin Smith","Ethan Suplee","Jason Mewes","Joey Lauren Adams",123,"comic|ex girlfriend|jay and silent bob|mall|teenager","English","USA",6,7.2,3.57988165680473,7.15976331360947,7,4,7
185,"The Net ",1995,"Action|Crime|Thriller","Action|Crime|Drama|Mystery|Thriller","Irwin Winkler","Ken Howard","Jeremy Northam","Ray McKinnon",114,"chat room|computer|computer hacker|identity|identity theft","English","USA",0,5.8,3.12247173729139,6.24494347458279,6,3,6
188,"The Prophecy ",1995,"Fantasy|Horror|Mystery","Action|Fantasy|Horror|Mystery|Thriller","","Viggo Mortensen","Adam Goldberg","Virginia Madsen",98,"angel|corpse|girl|heaven|soul","English","USA",0,6.6,3.33531669865643,6.67063339731286,7,3,7
191,"The Scarlet Letter ",1995,"Drama|Romance","Drama|Romance","Roland Joffé","Gary Oldman","Robert Duvall","Demi Moore",135,"17th century|adultery|letter|pubic hair|swimming","English","USA",1,5.1,2.68892598775737,5.37785197551475,5,3,5
193,"Showgirls ",1995,"Drama","Drama","Paul Verhoeven","Bobbie Phillips","Elizabeth Berkley","Robert Davi",131,"cult film|lap dance|lap dancing|stripper|striptease","English","France",0,4.6,2.24235527544351,4.48471055088702,5,2,4
196,"Species ",1995,"Horror|Sci-Fi","Action|Horror|Sci-Fi|Thriller","Roger Donaldson","Natasha Henstridge","Marg Helgenberger","Jordan Lund",108,"alien|interspecies sex|scientist|sexual attraction|train","English","USA",0,5.8,2.83571767577463,5.67143535154926,6,3,6
204,"Under Siege 2: Dark Territory ",1995,"Action","Action|Thriller","","Peter Greene","Brenda Bakke","Patrick Kilpatrick",92,"colorado|niece|satellite|terrorist|train","English","USA",1,5.4,2.9380013368984,5.87600267379679,5,3,6
208,"Waterworld ",1995,"Action|Adventure|Sci-Fi","Action|Adventure|Sci-Fi|Thriller","Kevin Reynolds","Jeanne Tripplehorn","Rick Aviles","Zakes Mokae",176,"future|sail|sea|smoker|water","English","USA",0,6.1,2.85770831218918,5.71541662437836,6,3,6
215,"Before Sunrise ",1995,"Drama|Romance","Drama|Romance","Richard Linklater","Hanno Pöschl","Hans Weingartner","Dominik Castell",105,"american|conversations|kiss|love|train","English","USA",1,8.1,3.86721068249258,7.73442136498516,8,4,8
223,"Clerks ",1994,"Comedy","Comedy","Kevin Smith","Jason Mewes","Brian O'Halloran","Jeff Anderson",102,"clerk|friend|hockey|video|video store","English","USA",4,7.8,3.86481541060082,7.72963082120164,8,4,8
224,"Don Juan DeMarco ",1994,"Comedy|Drama|Romance","Comedy|Drama|Romance","","Johnny Depp","Marlon Brando","Faye Dunaway",97,"don juan|mental institution|patient|psychiatrist|retirement","English","USA",3,6.8,3.43651941693557,6.87303883387115,7,3,7
225,"Disclosure ",1994,"Drama|Thriller","Drama|Thriller","Barry Levinson","Demi Moore","Dylan Baker","Roma Maffia",128,"computer|marriage|non statutory female on male rape|promotion|sexual harassment","English","USA",0,6,3.28975425330813,6.57950850661626,6,3,7
231,"Dumb & Dumber ",1994,"Adventure|Comedy","Comedy","","Lauren Holly","Mike Starr","Teri Garr",113,"briefcase full of money|character repeating someone else's dialogue|character says i love you|friendship|reference to cinderella","English","USA",2,7.3,2.95020962885844,5.90041925771687,7,3,6
233,"Exotica ",1994,"Drama","Drama|Mystery|Romance","Atom Egoyan","Bruce Greenwood","Mia Kirshner","Sarah Polley",103,"bird|cult film|egg|nightclub|toronto","English","Canada",1,7.2,3.52373595505618,7.04747191011236,7,4,7
235,"Ed Wood ",1994,"Comedy|Drama","Biography|Comedy|Drama","Tim Burton","Johnny Depp","Bill Murray","Martin Landau",127,"1950s|director|friend|friendship|transvestism","English","USA",1,7.9,3.65892014677617,7.31784029355233,8,4,7
246,"Hoop Dreams ",1994,"Documentary","Documentary|Drama|Sport","Steve James","William Gates","Arthur Agee","Isiah Thomas",170,"athlete|basketball|high school|high school student|school","English","USA",0,8.3,4.00698833793288,8.01397667586575,8,4,8
247,"Heavenly Creatures ",1994,"Crime|Drama","Biography|Crime|Drama|Romance|Thriller","Peter Jackson","Kate Winslet","Jed Brophy","Liz Mullane",108,"fantasy life|friend|friendship|love|teenage crush","English","New Zealand",2,7.4,3.82528566162919,7.65057132325839,7,4,8
253,"Interview with the Vampire: The Vampire Chronicles ",1994,"Drama|Horror","Drama|Fantasy|Horror","Neil Jordan","Brad Pitt","Tom Cruise","Kirsten Dunst",123,"betrayal|dangerous friend|gothic|monster as victim|vampire","English","USA",0,7.6,3.49596263728744,6.99192527457488,8,3,7
254,"Jefferson in Paris ",1995,"Drama","Biography|Drama|History|Romance","James Ivory","Seth Gilliam","Todd Boyce","Nigel Whitmey",139,"18th century|ambassador|french revolution|friendship|thomas jefferson","English","France",1,5.7,2.8889751552795,5.77795031055901,6,3,6
255,"The Jerky Boys ",1995,"Comedy","Comedy|Crime","","Vincent Pastore","William Hickey","Peter Appel",82,"critically bashed|mafia|police|telephone|unemployment","English","USA",0,4.6,2.28161434977578,4.56322869955157,5,2,5
259,"Kiss of Death ",1995,"Crime|Drama|Thriller","Action|Crime|Thriller","Barbet Schroeder","Nicolas Cage","Michael Rapaport","Philip Baker Hall",101,"beard|female nudity|police brutality|stripper|woman in lingerie","English","USA",3,5.9,3.07359413202934,6.14718826405868,6,3,6
260,"Star Wars: Episode IV - A New Hope ",1977,"Action|Adventure|Sci-Fi","Action|Adventure|Fantasy|Sci-Fi","George Lucas","Harrison Ford","Peter Cushing","Kenny Baker",125,"death star|empire|galactic war|princess|rebellion","English","USA",1,8.7,4.15805163059679,8.31610326119358,9,4,8
261,"Little Women ",1994,"Drama","Drama|Family|Romance","Gillian Armstrong","Christian Bale","Kirsten Dunst","Eric Stoltz",115,"civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war","English","USA",4,7.3,3.59770998889174,7.19541997778347,7,4,7
266,"Legends of the Fall ",1994,"Drama|Romance|War|Western","Drama|Romance|War|Western","Edward Zwick","Anthony Hopkins","Brad Pitt","Julia Ormond",133,"epic|heart|killing an animal|passion|usa","English","USA",2,7.5,3.49769826933162,6.99539653866325,8,3,7
292,"Outbreak ",1995,"Action|Drama|Sci-Fi|Thriller","Action|Drama|Thriller","Wolfgang Petersen","Kevin Spacey","Morgan Freeman","Rene Russo",127,"disease|epidemic|monkey|quarantine|virus","English","USA",3,6.6,3.42278860569715,6.8455772113943,7,3,7
294,"The Perez Family ",1995,"Comedy|Romance","Comedy|Drama|Romance","Mira Nair","Anjelica Huston","Chazz Palminteri","Vincent Gallo",113,"immigration|love|political prisoner|reference to john wayne|title directed by female","English","USA",2,6.2,3.17653890824623,6.35307781649245,6,3,6
296,"Pulp Fiction ",1994,"Comedy|Crime|Drama|Thriller","Crime|Drama","Quentin Tarantino","Bruce Willis","Eric Stoltz","Phil LaMarr",178,"black comedy|cunnilingus|neo noir|nonlinear timeline|postmodern","English","USA",1,8.9,4.16321073194169,8.32642146388337,9,4,8
303,"The Quick and the Dead ",1995,"Action|Thriller|Western","Action|Thriller|Western","Sam Raimi","Leonardo DiCaprio","Pat Hingle","Roberts Blossom",107,"authority figure as villian|gun duel|saved from hanging|showdown|street shootout","English","Japan",0,6.4,3.03987167736022,6.07974335472044,6,3,6
315,"The Specialist ",1994,"Action|Drama|Thriller","Action|Crime|Drama|Romance|Thriller","Luis Llosa","Sylvester Stallone","Rod Steiger","Emilio Estefan Jr.",110,"bomb|cia|explosive|explosives expert|miami florida","English","Peru",2,5.4,2.9040749796251,5.8081499592502,5,3,6
317,"The Santa Clause ",1994,"Comedy|Drama|Fantasy","Comedy|Drama|Family|Fantasy","John Pasquin","Judge Reinhold","Eric Lloyd","Peter Boyle",97,"1990s|christmas|christmas eve|sleigh|surrealism","English","USA",0,6.4,3.14294973778799,6.28589947557598,6,3,6
318,"The Shawshank Redemption ",1994,"Crime|Drama","Crime|Drama","Frank Darabont","Morgan Freeman","Jeffrey DeMunn","Bob Gunton",142,"escape from prison|first person narration|prison|prison cell search|wrongful imprisonment","English","USA",0,9.3,4.44171042664373,8.88342085328745,9,4,9
327,"Tank Girl ",1995,"Action|Comedy|Sci-Fi","Action|Comedy|Sci-Fi","Rachel Talalay","Naomi Watts","Lori Petty","Jeff Kober",104,"2030s|21st century|desert|jet|tank","English","USA",0,5.2,2.80538377591852,5.61076755183703,5,3,6
328,"Tales from the Crypt: Demon Knight ",1995,"Horror|Thriller","Action|Fantasy|Horror|Thriller","","CCH Pounder","Jada Pinkett Smith","Gary Farmer",92,"blood|blood of christ|demon|key|loud sex","English","USA",1,6.7,3.16050854191498,6.32101708382996,7,3,6
329,"Star Trek: Generations ",1994,"Adventure|Drama|Sci-Fi","Action|Adventure|Mystery|Sci-Fi|Thriller","","LeVar Burton","Alan Ruck","Jonathan Frakes",118,"23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice","English","USA",0,6.6,3.34674440872717,6.69348881745435,7,3,7
330,"Tales from the Hood ",1995,"Action|Crime|Horror","Comedy|Horror|Thriller","","Corbin Bernsen","Clarence Williams III","David Alan Grier",98,"child abuse|death|drugs|ku klux klan|police brutality","English","USA",0,6.1,2.81154822335025,5.62309644670051,6,3,6
337,"What's Eating Gilbert Grape ",1993,"Drama","Drama|Romance","Lasse Hallström","Johnny Depp","Leonardo DiCaprio","Kevin Tighe",118,"apostrophe in title|face slap|four word title|grocery store|police","English","USA",1,7.8,3.75017337956788,7.50034675913577,8,4,8
338,"Virtuosity ",1995,"Action|Sci-Fi|Thriller","Action|Crime|Sci-Fi|Thriller","Brett Leonard","Denzel Washington","Costas Mandylor","Traci Lords",106,"android|ex cop|serial killer|virtual character come to life|virtual reality","English","USA",1,5.5,2.99541380029185,5.9908276005837,6,3,6
344,"Ace Ventura: Pet Detective ",1994,"Comedy","Comedy","Tom Shadyac","Sean Young","Udo Kier","David Margulies",78,"detective|dolphin|mascot|nudity|stupidity","English","USA",1,6.9,2.98552418421662,5.97104836843323,7,3,6
348,"Bullets Over Broadway ",1994,"Comedy","Comedy|Crime","Woody Allen","Jim Broadbent","Chazz Palminteri","Dianne Wiest",98,"actress|bodyguard|new york city|play|playwright","English","USA",4,7.5,3.6841574765801,7.3683149531602,8,4,7
349,"Clear and Present Danger ",1994,"Action|Crime|Drama|Thriller","Action|Crime|Drama|Thriller","Phillip Noyce","Harrison Ford","Dean Jones","Raymond Cruz",141,"cia|colombia|colombian drug cartel|drugs|president","English","USA",1,6.9,3.67128621296655,7.34257242593311,7,4,7
350,"The Client ",1994,"Drama|Mystery|Thriller","Crime|Drama|Mystery|Thriller","Joel Schumacher","Bradley Whitford","Anthony LaPaglia","Brad Renfro",119,"boy|brother|lawyer|mafia|senator","English","USA",3,6.7,3.46449972761939,6.92899945523879,7,3,7
352,"Crooklyn ",1994,"Comedy|Drama","Comedy|Drama","Spike Lee","Alfre Woodard","Delroy Lindo","Isaiah Washington",115,"argument|birthday|bully|coming of age|semi autobiographical","English","USA",0,6.9,3.2631195335277,6.52623906705539,7,3,7
353,"The Crow ",1994,"Action|Crime|Fantasy|Thriller","Action|Drama|Fantasy","Alex Proyas","Michael Wincott","Bai Ling","David Patrick Kelly",98,"back from the dead|crime boss|crow|gothic|vigilante","English","USA",0,7.6,3.51071554046141,7.02143108092282,8,4,7
355,"The Flintstones ",1994,"Children|Comedy|Fantasy","Comedy|Family|Fantasy","Brian Levant","Jonathan Winters","Elizabeth Perkins","Harvey Korman",91,"1000000 b.c.|box office hit|lawn mowing|product placement|stone age","English","USA",2,4.8,2.42379050155348,4.84758100310697,5,2,5
356,"Forrest Gump ",1994,"Comedy|Drama|Romance|War","Comedy|Drama","Robert Zemeckis","Tom Hanks","Siobhan Fallon Hogan","Sam Anderson",142,"amputee|love|vietnam|vietnam war|war hero","English","USA",0,8.8,4.04515597323362,8.09031194646723,9,4,8
